pdb,exists,title,method,resolution,n_nonpolymer,error
1ake,True,STRUCTURE OF THE COMPLEX BETWEEN ADENYLATE KINASE FROM ESCHERICHIA COLI AND THE INHIBITOR AP5A REFINED AT 1.9 ANGSTROMS RESOLUTION: A MODEL FOR A CATALYTIC TRANSITION STATE,X-RAY DIFFRACTION,2.0,2.0,
1b38,True,HUMAN CYCLIN-DEPENDENT KINASE 2,X-RAY DIFFRACTION,2.0,2.0,
1cwa,True,X-RAY STRUCTURE OF A MONOMERIC CYCLOPHILIN A-CYCLOSPORIN A CRYSTAL COMPLEX AT 2.1 ANGSTROMS RESOLUTION,X-RAY DIFFRACTION,2.1,0.0,
1e1x,True,HUMAN CYCLIN DEPENDENT KINASE 2 COMPLEXED WITH THE INHIBITOR NU6027,X-RAY DIFFRACTION,1.85,1.0,
1hhp,True,THE THREE-DIMENSIONAL STRUCTURE OF THE ASPARTYL PROTEASE FROM THE HIV-1 ISOLATE BRU,X-RAY DIFFRACTION,2.7,0.0,
1hxw,True,HIV-1 PROTEASE DIMER COMPLEXED WITH A-84538,X-RAY DIFFRACTION,1.8,1.0,
1jwp,True,Structure of M182T mutant of TEM-1 beta-lactamase,X-RAY DIFFRACTION,1.75,1.0,
1kv2,True,Human p38 MAP Kinase in Complex with BIRB 796,X-RAY DIFFRACTION,2.8,1.0,
1opj,True,Structural basis for the auto-inhibition of c-Abl tyrosine kinase,X-RAY DIFFRACTION,1.75,6.0,
1p38,False,,,,,HTTP 404
1pzo,True,"TEM-1 Beta-Lactamase in Complex with a Novel, Core-Disrupting, Allosteric Inhibitor",X-RAY DIFFRACTION,1.9,2.0,
1rpg,True,STRUCTURES OF RNASE A COMPLEXED WITH 3'-CMP AND D(CPA): ACTIVE SITE CONFORMATION AND CONSERVED WATER MOLECULES,X-RAY DIFFRACTION,1.4,2.0,
1rx2,True,DIHYDROFOLATE REDUCTASE (E.C.1.5.1.3) COMPLEXED WITH WITH FOLATE AND NICOTINAMIDE ADENINE DINUCLEOTIDE PHOSPHATE (OXIDIZED FORM),X-RAY DIFFRACTION,1.8,4.0,
1sgz,True,Crystal Structure of Unbound Beta-Secretase Catalytic Domain.,X-RAY DIFFRACTION,2.0,0.0,
1t49,True,Allosteric Inhibition of Protein Tyrosine Phosphatase 1B,X-RAY DIFFRACTION,1.9,2.0,
1v4s,True,Crystal structure of human glucokinase,X-RAY DIFFRACTION,2.3,3.0,
1yer,True,"HUMAN HSP90 GELDANAMYCIN-BINDING DOMAIN, ""CLOSED"" CONFORMATION",X-RAY DIFFRACTION,1.65,0.0,
1ypi,True,STRUCTURE OF YEAST TRIOSEPHOSPHATE ISOMERASE AT 1.9-ANGSTROMS RESOLUTION,X-RAY DIFFRACTION,1.9,0.0,
2b8l,True,Crystal structure of human beta secretase complexed with inhibitor,X-RAY DIFFRACTION,1.7,1.0,
2cm2,True,Structure of Protein Tyrosine Phosphatase 1B (P212121),X-RAY DIFFRACTION,1.5,2.0,
2cpl,True,SIMILARITIES AND DIFFERENCES BETWEEN HUMAN CYCLOPHILIN A AND OTHER BETA-BARREL STRUCTURES. STRUCTURAL REFINEMENT AT 1.63 ANGSTROMS RESOLUTION,X-RAY DIFFRACTION,1.63,0.0,
2g1t,True,A Src-like Inactive Conformation in the Abl Tyrosine Kinase Domain,X-RAY DIFFRACTION,1.8,8.0,
2h8h,True,Src kinase in complex with a quinazoline inhibitor,X-RAY DIFFRACTION,2.2,1.0,
2jk2,True,STRUCTURAL BASIS OF HUMAN TRIOSEPHOSPHATE ISOMERASE DEFICIENCY. CRYSTAL STRUCTURE OF THE WILD TYPE ENZYME.,X-RAY DIFFRACTION,1.7,0.0,
2src,True,"CRYSTAL STRUCTURE OF HUMAN TYROSINE-PROTEIN KINASE C-SRC, IN COMPLEX WITH AMP-PNP",X-RAY DIFFRACTION,1.5,1.0,
2xjx,True,Structure of HSP90 with small molecule inhibitor bound,X-RAY DIFFRACTION,1.66,1.0,
2ydo,True,Thermostabilised HUMAN A2a Receptor with adenosine bound,X-RAY DIFFRACTION,3.0,3.0,
3eml,True,The 2.6 A Crystal Structure of a Human A2A Adenosine Receptor bound to ZM241385.,X-RAY DIFFRACTION,2.6,13.0,
3fgu,True,Catalytic complex of Human Glucokinase,X-RAY DIFFRACTION,2.15,4.0,
4ake,True,ADENYLATE KINASE,X-RAY DIFFRACTION,2.2,0.0,
4bck,True,Structure of CDK2 in complex with cyclin A and a 2-amino-4-heteroaryl- pyrimidine inhibitor,X-RAY DIFFRACTION,2.052,3.0,
4obe,True,Crystal Structure of GDP-bound Human KRas,X-RAY DIFFRACTION,1.24,4.0,
5dfr,True,CRYSTAL STRUCTURE OF UNLIGANDED ESCHERICHIA COLI DIHYDROFOLATE REDUCTASE. LIGAND-INDUCED CONFORMATIONAL CHANGES AND COOPERATIVITY IN BINDING,X-RAY DIFFRACTION,2.3,3.0,
6gue,True,CDK2/CyclinA in complex with AZD5438,X-RAY DIFFRACTION,1.99,2.0,
6oim,True,Crystal Structure of human KRAS G12C covalently bound to AMG 510,X-RAY DIFFRACTION,1.65,3.0,
7rsa,True,STRUCTURE OF PHOSPHATE-FREE RIBONUCLEASE A REFINED AT 1.26 ANGSTROMS,X-RAY DIFFRACTION,1.26,1.0,
