target,feature,label,r,auroc,p,n,npos
missing_peak,pLDDT,AlphaFold2 pLDDT,-0.23894469049556327,0.2850309492180348,6.666399436062386e-175,13525,749
missing_peak,coverage,MSA coverage,-0.21551051860638817,0.40984313699235436,3.4764755103647714e-126,12008,658
missing_peak,cons_BLOSUM62,Sequence conservation (BLOSUM62),0.03569526676446616,0.5416961498160352,0.00011726762074632924,11639,538
missing_peak,SASA,Solvent accessibility (SASA),0.053159807279099615,0.5580747195383868,6.165894409843367e-10,13525,749
missing_peak,is_loop,Loop (vs helix/strand),0.1070843467062713,0.614201005222576,8.641366788398286e-36,13525,749
rex,pLDDT,AlphaFold2 pLDDT,-0.15586424957653916,0.3717158435504071,2.6523628689951636e-74,13525,1535
rex,coverage,MSA coverage,-0.12383655732531468,0.4718250389468334,2.996804061163515e-42,12008,1360
rex,R1,R₁ relaxation rate,-0.012082971726167336,0.4932199946565739,0.17315576051322318,12710,786
rex,SASA,Solvent accessibility (SASA),0.02950163446282635,0.5232393715718582,0.0006005136992513776,13525,1535
rex,NOE,hetNOE (ps–ns motion),0.030757258907086648,0.4997479641233155,0.0005321049628552979,12681,783
rex,cons_BLOSUM62,Sequence conservation (BLOSUM62),0.045400787969444426,0.5357346987377947,9.582296882915628e-07,11639,1235
rex,is_loop,Loop (vs helix/strand),0.10404654406399522,0.5800103506450816,7.13728241283557e-34,13525,1535
rex,R2_R1,R₂/R₁ ratio,0.17519533364839213,0.6183857030476895,4.510324862374203e-88,12699,786
rex,R2,R₂ relaxation rate,0.22772522675401394,0.6920639946014919,3.586420830337305e-149,12709,786
rex,dR2R1,ΔR₂/R₁ (exchange excess),0.29779014316067537,0.9326818579737653,2.2220379359475703e-245,12055,786
